,TFIDF
states,0.030440733
united,0.030043004
united states,0.029802082
government,0.027944239
politics,0.026360659
politics government,0.02568638
impeachment,0.025307741
states politics,0.019218123
presidential,0.018886322
election,0.018236792
trump,0.017729962
president,0.017341247
presidential election,0.01694595
military,0.01619857
international,0.015473217
defense,0.015022966
forces,0.013507315
inquiry,0.013479442
impeachment inquiry,0.012996893
complaint,0.01290741
whistleblower,0.012866205
whistleblower complaint,0.01282487
complaint impeachment,0.01282487
trumpukraine,0.01282487
trumpukraine whistleblower,0.01282487
military forces,0.01251836
defense military,0.01251836
relations,0.011970177
estate,0.011577291
coronavirus,0.011520695
international relations,0.011340555
trial,0.011036362
states international,0.01100868
people,0.010960726
travel,0.010196105
housing,0.009997051
caucuses,0.0097132195
political,0.009681693
media,0.009668246
residential,0.00961023
housing residential,0.0092318775
estate housing,0.0092318775
house,0.00918801
world,0.009041119
murders,0.0087947175
states defense,0.008688482
state,0.008643568
years,0.008410874
primaries,0.008369028
primaries caucuses,0.0083036125
safety,0.008166267
trade,0.00811121
officials,0.008046339
china,0.00787533
women,0.007718681
senate,0.007579986
president trump,0.007468717
campaign,0.007207651
crimes,0.007067277
accidents safety,0.006887265
accidents,0.006887265
police,0.006814677
market,0.006606193
public,0.0065695015
social,0.006561928
american,0.0062657045
global,0.006243879
impeachment trial,0.0061965
vacations,0.0061838813
protests,0.006127629
travel vacations,0.006116728
sanders,0.0061079017
security,0.0060906727
health,0.006070483
million,0.0060564806
internet,0.0059950715
homes,0.005979372
advertising,0.005868028
economic,0.0058249226
deaths,0.0057549817
targeted,0.0056961523
computers,0.0056198104
executive,0.005586776
voters,0.005550931
company,0.005539583
yourfeedscience,0.0055151377
fires,0.005445498
black,0.00542968
white,0.0054217083
attempted,0.0054210685
change,0.005373906
death,0.0053672483
rights,0.005354225
fatalities,0.005341954
killings,0.0053389715
democrats,0.0053007794
democratic,0.0052757855
iranian,0.005225969
killing,0.005219496
ukraine,0.005216172
deaths fatalities,0.0051857973
targeted killings,0.005157897
computers internet,0.0051520593
elections,0.0051509906
homicides,0.005118231
murders homicides,0.005118231
murders attempted,0.005118231
attempted murders,0.005118231
government trumpukraine,0.0050623124
airlines,0.00504956
federal,0.005048292
epidemics,0.005031846
social media,0.005018011
trade world,0.0049460297
international trade,0.0049460297
world market,0.0049460297
girls,0.0049424996
families,0.0049365633
disasters,0.00492953
killed,0.0049225115
human,0.0049198796
women girls,0.0048947833
election primaries,0.004865666
economy,0.004863084
debate,0.0048102187
court,0.0047961297
immigration,0.004791766
video,0.0047247973
labor,0.0047082454
industry,0.00468776
demonstrations,0.0046807826
chinese,0.0046290774
woman,0.0045947325
aviation,0.0045764423
children,0.0045631663
rates,0.004562733
aviation accidents,0.0045266035
safety disasters,0.0045266035
riots,0.004510371
protests riots,0.004510371
demonstrations protests,0.004510371
