headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
"A Better Year for Trump’s Family Business (Last Year, That Is)",2020-08-01,article,News,"In 2019, the Trump Organization showed improvement over the previous year. But the company’s minimum reported revenues still fell short of the president’s first year in office, his new financial disclosure shows.",The New York Times,Investigative,Business Day,"['Coronavirus (2019-nCoV)', 'Hotels and Travel Lodgings', 'United States Politics and Government', 'Shutdowns (Institutional)', 'Real Estate (Commercial)', 'Company Reports']"
Court Frees Michigan Teen Who Was Held for Skipping Online Schoolwork,2020-08-01,article,News,"The release came more than a week after a judge ruled that the girl, who violated the terms of her probation by skipping coursework, should remain at the juvenile facility.",The New York Times,Express,U.S.,"['Juvenile Delinquency', 'Decisions and Verdicts', 'Children and Childhood']"
Canada’s Key Role in Creating a Once Awaited Vaccine,2020-08-01,article,News,"An American researcher created the polio vaccine, but a Toronto lab and a pioneering female scientist made its mass production possible.",The New York Times,Foreign,World,['Vaccination and Immunization']
"A School Reopens, and the Coronavirus Creeps In",2020-08-01,article,News,"As more schools abandon plans for in-person classes, one that opened in Indiana this week had to quarantine students within hours.",The New York Times,National,U.S.,"['Education (K-12)', 'Coronavirus Reopenings', 'Coronavirus (2019-nCoV)', 'Teachers and School Employees']"
"Trump’s Approval Rating, Biden V.P. Search: The Latest in the 2020 Race",2020-08-01,article,News,"President Trump’s more sober messaging on the coronavirus crisis didn’t last long. For Joe Biden, the search for a running mate may last a little longer.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Coronavirus (2019-nCoV)']"
Make Pizza … On Your Grill,2020-08-01,article,News,"Bear with us. We know this sounds bonkers, but it really does work.",The New York Times,AtHome,At Home,"['Quarantine (Life and Culture)', 'Pizza', 'Cooking and Cookbooks', 'Content Type: Service']"
How Woody Vines Do the Twist,2020-08-01,article,News,"Slowly, scientists are learning how lianas quickly climb.",The New York Times,Science,Science,"['Trees and Shrubs', 'Forests and Forestry', 'your-feed-science']"
Why a Data Breach at a Genealogy Site Has Privacy Experts Worried,2020-08-01,article,News,"Nearly two-thirds of GEDmatch’s users opt out of helping law enforcement. For a brief window this month, that didn’t matter.",The New York Times,Express,Technology,"['Genealogy', 'Forensic Science', 'Genetics and Heredity', 'Computer Security', 'DNA (Deoxyribonucleic Acid)', 'Computers and the Internet', 'Cyberattacks and Hackers', 'Murders, Attempted Murders and Homicides']"
"Can Humans Give Coronavirus to Bats, and Other Wildlife?",2020-08-01,article,News,Federal agencies suggest caution in U.S. bat research to avoid transmitting the novel coronavirus to wildlife.,The New York Times,Science,Science,"['Coronavirus (2019-nCoV)', 'Bats', 'your-feed-science']"
Law to Reduce Crack Cocaine Sentences Leaves Some Imprisoned,2020-08-01,article,News,Critics say the First Step Act is being applied too arbitrarily by judges who are taking a hard line when it comes to revisiting nonviolent drug sentences.,The New York Times,Washington,U.S.,"['Mandatory Sentencing', 'Cocaine and Crack Cocaine', 'Criminal Justice', 'Drug Abuse and Traffic', 'Prisons and Prisoners', 'Law and Legislation', 'Probation and Parole', 'Sentences (Criminal)', 'Black People', 'Blacks']"
‘Cocktails and Masks Don’t Really Go Together’,2020-08-01,article,News,"Young Russians are partying again, seeking a return to normal life and willing to risk a coronavirus surge. “We are people, not robots, and want to have a life,” said a bar patron (and doctor).",The New York Times,Foreign,World,"['Masks', 'Coronavirus (2019-nCoV)', 'Bars and Nightclubs']"
"Like Old Hollywood Movies, Video Games Get a Polish for New Audiences",2020-08-01,article,News,Game publishers are digging through their vaults to remake or remaster popular titles in a bid to kindle players’ nostalgia.,The New York Times,Business,Business Day,"['Computer and Video Games', 'Video Recordings, Downloads and Streaming', 'PlayStation (Video Game System)']"
Body Bags and Enemy Lists: How Far-Right Police Officers and Ex-Soldiers Planned for ‘Day X’,2020-08-01,article,News,Germany has woken up to a problem of far-right extremism in its elite special forces. But the threat of neo-Nazi infiltration of state institutions is much broader.,The New York Times,Foreign,World,"['Neo Nazi Groups', 'Fringe Groups and Movements', 'Murders, Attempted Murders and Homicides']"
Tammy Duckworth Is Nothing and Everything Like Joe Biden,2020-08-01,article,News,"Despite their disparate backgrounds, the Illinois Democrat has carved out a public life most evocative of the man she could join on the presidential ticket.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Vice Presidents and Vice Presidency (US)', 'Veterans', 'United States Defense and Military Forces']"
"12 People in a 3-Bedroom House, Then the Virus Entered the Equation",2020-08-01,article,News,"Overcrowding, not density, has defined many coronavirus hot spots. Service workers’ quarters skirting Silicon Valley are no exception.",The New York Times,SundayBusiness,Business Day,"['Real Estate and Housing (Residential)', 'Renting and Leasing (Real Estate)', 'Affordable Housing', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Labor and Jobs', 'Income Inequality', 'Service Industries', 'Urban Areas']"
Indian Billionaires Bet Big on Head Start in Coronavirus Vaccine Race,2020-08-01,article,News,"The world’s largest vaccine producer, the Serum Institute, announced a plan to make hundreds of millions of doses of an unproven inoculation. It’s a gamble with a huge upside. And huge risks.",The New York Times,Foreign,World,"['Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'Clinical Trials']"
"Iran Will Expand Nuclear Program and Won’t Talk to U.S., Ayatollah Says",2020-08-01,article,News,"In a televised speech, Ayatollah Ali Khamenei, Iran’s supreme leader, said that negotiating with Washington over his country’s nuclear program would only help President Trump get re-elected.",The New York Times,Foreign,World,"['Embargoes and Sanctions', 'United States International Relations', 'Nuclear Weapons']"
"Infections Swamp the U.S., Which Recorded 42% of All Its Coronavirus Cases in July",2020-08-01,article,News,Thousands in Berlin protest Germany’s coronavirus measures. The virus is picking up speed in the Midwest. A summer camp in Georgia apologizes for hosting a retreat after hundreds who attended were infected.,The New York Times,Sports,World,['Coronavirus (2019-nCoV)']
"Italy Draws a Line Under Genoa Tragedy, Shunting Aside the Benettons",2020-08-01,article,News,The government has leveraged anger over the collapse of Genoa’s Morandi Bridge to take back control of the nation’s highways. But critics say the deal sends a troubling message to investors.,The New York Times,Foreign,World,"['Politics and Government', 'Infrastructure (Public Works)', 'Bridges and Tunnels', 'Privatization', 'Roads and Traffic', 'Tolls', 'Regulation and Deregulation of Industry']"
