,headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
0,‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,2020-01-01,article,News,"The gunman who shot two parishioners at the West Freeway Church of Christ had come earlier looking for food and money, church leaders said.",The New York Times,National,U.S.,"['Churches (Buildings)', 'Murders, Attempted Murders and Homicides']"
1,F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,2020-01-01,article,News,The tobacco and vaping industries and conservative allies intensively lobbied against a ban on popular flavored e-cigarettes.,The New York Times,Science,Health,"['E-Cigarettes', 'Recalls and Bans of Products', 'Menthol', 'Nicotine', 'Teenagers and Adolescence', 'Regulation and Deregulation of Industry', 'Smoking and Tobacco', 'Lobbying and Lobbyists', 'United States Politics and Government', 'your-feed-healthcare']"
2,Hong Kong Protesters Return to Streets as New Year Begins,2020-01-01,article,News,"Weeks of relative calm ended on Wednesday, as people marched in large numbers and the police deployed tear gas and pepper spray.",The New York Times,Foreign,World,"['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'New Year']"
3,Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,2020-01-01,article,News,"A Los Angeles County massage therapist, who died in September, had accused Mr. Spacey of groping him and making improper advances during a 2016 massage.",The New York Times,Express,U.S.,"['Sexual Harassment', 'Suits and Litigation (Civil)', 'Movies', '#MeToo Movement', 'Television', 'ACTORS AND ACTRESSES', 'Massage', 'Sex Crimes', 'Academy Awards (Oscars)', 'Golden Globes (Awards)', 'Tony Awards (Theater Awards)']"
4,Dizzying Day for Trump Caps a Year Full of Them,2020-01-01,article,News,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.",The New York Times,Washington,U.S.,"['United States International Relations', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
5,Meteor Showers in 2020 That Will Light Up Night Skies,2020-01-01,article,News,"All year long, Earth passes through streams of cosmic debris. Here’s a list of major meteor showers and how to spot one.",The New York Times,Science,Science,"['Meteors and Meteorites', 'Space and Astronomy', 'Earth', 'Solar System']"
6,"Rocket Launches, Trips to Mars and More 2020 Space and Astronomy Events",2020-01-01,article,News,"A year full of highs and lows in space just ended, and the 12 months to come  will be full of new highlights in orbit and beyond.",The New York Times,Science,Science,"['Space and Astronomy', 'Private Spaceflight', 'Rocket Science and Propulsion', 'Moon', 'Mars (Planet)', 'Sun', 'Mars 2020 (Mars Rover)', 'Satellites', 'International Space Station', 'Comets', 'Perseverance (Mars Rover)', 'Emirates Mars Mission', 'Tianwen-1 (Mars Mission)']"
7,How the U.S. Embassy in Iraq Became a Target,2020-01-01,article,News,"After months of turmoil in Iraq, U.S. airstrikes against a pro-Iranian militia drew a backlash.",The New York Times,Foreign,World,"['Politics and Government', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Corruption (Institutional)']"
8,10 Electric Vehicles to Watch,2020-01-01,article,News,"Sales doubled in 2019, but the industry’s tipping point — severing ties to the gas pump — still lies ahead. These cars will help make that happen.",The New York Times,Business,Business Day,"['Electric and Hybrid Vehicles', 'Automobile Service and Charging Stations', 'Batteries']"
9,Why the Fires in Australia Are So Bad,2020-01-01,article,News,"Bush fire season is nothing new to Australians, but this summer has been calamitous — and it’s far from over.",The New York Times,Foreign,World,"['Fires and Firefighters', 'Wildfires', 'Global Warming']"
10,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,2020-01-01,article,News,"Iran’s ability to deploy militias to attack the American Embassy, with Iraqi support, made clear how much power it wields in Iraq.",The New York Times,Foreign,World,"['Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'United States Defense and Military Forces', 'United States International Relations']"
11,"Eat Better, Feel Better? Food Advice From the Year in Well",2020-01-01,article,News,"Intermittent fasting, drinking less alcohol and eating more oysters are some of the steps you can try.",The New York Times,Well,Well,"['Weight', 'Fasting', 'Diet and Nutrition']"
12,New Year’s Resolution: Be More Honest,2020-01-01,article,News,Embracing honesty changed my life. Maybe it can change yours.,The New York Times,Well,Well,[]
13,No More Excuses Not to Exercise,2020-01-01,article,News,Many people say they don’t have the time to work out. But most of us spend hours each day viewing screens.,The New York Times,Well,Well,"['Exercise', 'New Year', 'Leisure', 'Television', 'Time']"
14,New Cruise Ships to Set Sail for Antarctica,2020-01-01,article,News,Interested in the southernmost continent? Here’s a roundup of some of the new ships and itineraries planned for the bucket-list destination.,The New York Times,Travel,Travel,"['Cruises', 'Travel and Vacations', 'Eco-Tourism', 'Ice']"
15,The Tech That Will Invade Our Lives in 2020,2020-01-01,article,News,"From smart homes to ultrafast wireless speeds, here’s what to watch.",The New York Times,Business,Technology,"['5G (Wireless Communications)', 'Computers and the Internet', 'Wearable Computing', 'Mobile Applications', 'Wireless Communications', 'Driverless and Semiautonomous Vehicles', 'Home Automation and Smart Homes', 'Television', 'International Consumer Electronics Show', 'Television Sets and Media Devices', 'Innovation']"
16,Inside the Fake Igloo Rooftop Wars,2020-01-01,article,News,"Ahh, winter in New York City.",The New York Times,Metropolitan,New York,"['Bars and Nightclubs', 'Roofs']"
17,"100 Years Ago, the Booziest January Suddenly Dried Up",2020-01-01,article,News,"In 1920, Prohibition went into effect, but America partied on.",The New York Times,Photo,U.S.,"['Prohibition Era (1920-1933)', 'ALCOHOLIC BEVERAGES', 'Nineteen Hundred Twenties', 'Cocktails and Mixed Drinks']"
18,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,2020-01-01,article,News,"There are signs her campaign is seeking to calm fears about her health care proposal, including having small meetings with rural Iowa voters to explain her financing and transition plans.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Health Insurance and Managed Care', 'Primaries and Caucuses']"
19,"In a Homecoming Video Meant to Unite Campus, Almost Everyone Was White",2020-01-01,article,News,"The video was created to show off the University of Wisconsin. Instead, it set off a furor, and a reckoning over what it means to be a black student on campus.",The New York Times,National,U.S.,"['Colleges and Universities', 'Race and Ethnicity', 'Whites', 'Discrimination', 'Black People', 'Blacks', 'Video Recordings, Downloads and Streaming']"
20,"Bedminster, N.J.: Horses, Golf and Presidential Visits",2020-01-01,article,News,"Residents of the Somerset County township, who span the economic spectrum, often find the helicopters annoying. But the intrusion is usually short-lived.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
21,China Moves to Steady Its Slowing Economic Growth,2020-01-01,article,News,The country’s central bank will in effect inject $115 billion into the financial system despite signs the economy has been improving.,The New York Times,Business,Business Day,"['Economic Conditions and Trends', 'Politics and Government', 'International Trade and World Market', 'Production']"
22,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,2020-01-01,article,News,"Mr. Buttigieg, who appears in strong position in Iowa with a month until the caucuses, continues to show fund-raising strength.",The New York Times,Politics,U.S.,"['Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']"
23,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries",2020-01-01,article,News,"In an iCal era, the co-founder of Rifle Paper Co., seller of stationery and home goods, still relies on physical planners (and the drive-through).",The New York Times,SundayBusiness,Business Day,"['Design', 'Workplace Environment']"
24,Pika-Who? How Pokémon Go Confused the Canadian Military,2020-01-01,article,News,"“We should almost hire a 12-year-old to help us out with this,” an official wrote.",The New York Times,Express,World,"['Defense and Military Forces', 'Military Bases and Installations', 'Pokemon (Fictional Characters)', 'Mobile Applications', 'Augmented Reality (Computers)']"
25,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,2020-01-01,article,News,"With an election and impeachment trial pending in the United States, North Korea’s leader added elements of caution in his threat of “shocking” action.",The New York Times,Foreign,World,"['United States International Relations', 'Nuclear Tests', 'Embargoes and Sanctions', 'Politics and Government', 'Nuclear Weapons']"
26,Mexico Prison Fight Leaves at Least 16 Inmates Dead,2020-01-01,article,News,Officials said several guns were found in the penitentiary.,The New York Times,Foreign,World,"['Prisons and Prisoners', 'Deaths (Fatalities)', 'Drug Cartels', 'Demonstrations, Protests and Riots']"
27,"$750,000 Homes in Mississippi, Missouri and Arizona",2020-01-01,article,News,"A brand-new cottage in Oxford, a 1967 modern-style home in Kansas City and a three-bedroom house with red-rock views in Sedona.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
28,Netanyahu Seeks Immunity From Israeli Corruption Charges,2020-01-01,article,News,"His request to Parliament is a rare move, and a potentially unpopular one, heading into a general election. But it could keep the Israeli leader out of court.",The New York Times,Foreign,World,"['Corruption (Institutional)', 'Immunity from Prosecution', 'Politics and Government', 'Elections']"
29,House Hunting in Spain: A Historic Estate For Under $2 Million,2020-01-01,article,News,"In Galicia, where the climate and the housing market are cooler, prices remain attractive to native and foreign buyers alike.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
30,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,2020-01-01,article,News,"As the pontiff greeted members of the public on New Year’s Eve, one woman grabbed his hand with both of hers. A video of the incident was shared widely online.",The New York Times,Foreign,World,[]
31,Stories About Equality that Gave Us Hope in 2019,2020-01-01,article,News,"At a time when hate crimes, inequality and white supremacy appear to be on the rise, these stories offered a little hope.",The New York Times,National,U.S.,"['Race and Ethnicity', 'Asian-Americans', 'Religion and Belief', 'Native Americans', 'Theater']"
32,"Flying Lanterns Probably Caused Zoo Fire in Germany, Police Say",2020-01-01,article,News,"The blaze burned down a primate enclosure, killing at least 30 animals. Three women told the police that they were sorry for using flying lanterns on New Year’s Eve.",The New York Times,Express,World,"['Fires and Firefighters', 'Zoos', 'Monkeys and Apes', 'Accidents and Safety']"
33,A Restaurant With No Leftovers,2020-01-01,article,News,A Brooklyn wine bar and restaurant is one of a handful of establishments in different cities that are trying to eliminate waste from their premises.,The New York Times,Business,Business Day,"['Waste Materials and Disposal', 'Recycling of Waste Materials', 'Restaurants', 'Food', 'Sustainable Living']"
34,A.I. Is Learning to Read Mammograms,2020-01-01,article,News,Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays.,The New York Times,Science,Health,"['Breast Cancer', 'Mammography', 'Artificial Intelligence', 'Cancer', 'your-feed-healthcare']"
